text,actual,predicted
even though b4 i was eating them that often but now i m hardcore not eating them and it s wearing on me,0,1
i m going back to jubail today,0,1
no please tell me you are joking,0,1
i have no friends,0,1
lol i am glad that we understand at least sometimes people are too serious,0,1
i wish i was living by the beach that would be so much funnnn,0,1
too much on my mind cant sleep,0,1
bout to take mallori homeee,0,1
ring for clowns,1,0
dj ripps up now living up to his name get locked,1,0
happy birthday didn t realise it was today till liz said yesterday at least it s sunny and you can study outside,0,1
today is my birthday i am now 29 going on 30 man that sounds old,0,1
my headaches only gotten worse going to relax and wait for ace of cakes at 12 30,1,0
oooh lucky she is so so so so goood i wana to go again,0,1
time to get going again,0,1
read cheryls updates if you want to know whats up,1,0
y r women so fuccin dumb homebound snugglin wit my build a bear fuck em girl fuck em,0,1
omg today we had the sport day i was soo tired my leg hurts really bad we played football and we winned at basketball yay,1,0
feel the rain on your skin no one else can feel it for you,1,0
bleh vegan muffins are not as good as vegan cookies,0,1
or the 3rd of august,1,0
sounds like a right palava,0,1
yep and you won,1,0
oh you re getting your hand footprint thing today i hope i can fall asleep in time to wake up in time to go,1,0
i doubt that perfectionism and excellence is a bad thing eu stress not dis stress,1,0
didn t see tacos gate open just happened to be accf ing it tonite maybe another day if you still play,1,0
just writing songs on my myspace updates ya ll know how i do man i wana make it but often times i doubt my own talent,0,1
btw at 15 i personally fink its a bit too early to be engaged so tis probbly a rumor riitte jus kip ur fingers crossed fer meee,0,1
i was am in a jackie brown mood x but it s nowhere to be found so i have to go rent it de niro rules m,0,1
oh no your baby is all scraped i am glad you are ok and hopefully your baby will be fixed soon,0,1
it feels like a friday if only it were true,0,1
i see you re feeling better though,1,0
i want to play outside no work today,1,0
ohhh i thought you were going to buy external hdds for a desktop didn t realize what mbp stood for,1,0
would love to be there today but can t waiting for more info re sunday shoot though hope today goes smoothly,0,1
when is your birthday i already have a membership but i haven t been using it since after fi was born,0,1
is going to the fat duck in august,1,0
and to you too how are you today,1,0
it s today sadly i can t fall back to sleep now haha,1,0
you not seeing my picture or you calling me nothing,0,1
i just listened to quot very proud of ya quot by afi and i must say i miss the old afi,0,1
fjgkfld sdh why am i not at hometown days with my friends,0,1
yeah i m up for a tinychat i need some cheering up,1,0
who is waking you up i m afraid to guess,1,0
any reason why searching for a postcode then clicking quot maps quot at the top links to multimap,1,0
yay im sooo effing hungry d movie marathon yay that means corey yay im being talked about on mitches myspace yay,0,1
i dunno you tell me,1,0
rt a botched abortion in a mother s own words abortion pro life tcot abortionismurder,0,1
yesterday i declared the bicycle season open with a first ride to a nearby recr area today i pay the price,1,0
art class with,1,0
they recorded the interview in la,0,1
twitter isnt as exciting as facebook,0,1
morning already oh boy not gonna be a good day at work,0,1
watching rar on tv,0,1
keiko s not feeling good so no star trek today maybe next weekend,0,1
at least we are getting a migration to outlook soon,1,0
well tweets it s another sunny day didn t have much rain but heard some of you got washed out around blighty hope your all well,1,0
that s cuz you re cruising the twitter nightshift now,1,0
thanks what happened to tom s vent it s no more,0,1
but can you hear this hm my max score is 15khz,0,1
i don t feel well love and hugs will be greatly appreciated,0,1
i expected an anticlimax,1,0
off to my lil sisters graduation they grow up so quick,0,1
2 more days finals tomorrow not fun,0,1
tell me about it,0,1
yeah that s what usually happens when u dont feel like urself,1,0
i love hacy with a passion those episodes with sela were definitely on my fav list idk why people don t like stacy,0,1
you seem to have outgrown diapers nappys so please keep that crappy content to yourself,1,0
oh no tea drops on my keyboard i should stop drinking jasmine in bed,0,1
yeah i watched the game haha felt really sleepy throughout the game though kane must be depressed,1,0
hmm a request for me to feature an app on my site from a quot merketing specialist quot sic addressed to quot dear editor quot oh dear,0,1
the chinese police registration currently reads quot the system is down the system is on the fritz quot when there is a malfunction,1,0
my head is a lil better thanks to think that i don t do the whole crazy thing anymore and i still get bruised,1,0
i m in quite a mood and for no reason that i can think of,0,1
twitah is shizzit 2nite erryone is at tha drizzy drake concert im soo jelouse hahaha,0,1
quot there s a hole in my shed roof dear twitter dear twitter quot,0,1
eu09 wahlimweb tweetdeck productplacement,1,0
i spoke too soon clouds rolling in now but it s still a great day nevertheless do well today,1,0
mason tyler musso i love you more than anyone in the whole world but the worst part is you will never know,0,1
chilling here have to get back to chores,0,1
eek disregard last one about coffee replied to wrong person,1,0
maybe i crossed the line,0,1
tiring day yesterday plane delayed big time rental car pickup closed extra night in brussels excellent hotel though,1,0
it was in a plastic bag,0,1
i did have lots of fun but the fact that i have school tomorrow is entirely for the purpose of erasing the goodness,0,1
i m out of pink beads,0,1
that is beyond stupid and goes against the point of twitter butting in on other peoples conversations,1,0
i know annoying to say the least anyhow the search continues,1,0
thanks honey but i m in groningen i used to wash dishes in a restaurant nothing faces me now lol how about puke,0,1
i think i m over compensating for my loose weave last time by making this one too tight,0,1
18 01 and no 3 0 yet,0,1
oh thank you i know i wish you could ve been there too hope you ve been having a lovely day and night whatever you do x,0,1
and i had a quot drag me to hell quot moment as well,0,1
weirdly displaying the satellite weather also as a clock for tweets xkcd,1,0
my rental car is a pt cruiser,1,0
leaving to see jeff dunham in about 30 45 mins omg i m so fucking excited,1,0
omg i just woke up on the sofa with bb still in my hand i defenitely need to go to bed goodnight all tweet ya ll later,0,1
just got home had a lot of fun but cant sleep,0,1
why,0,1
weird dream about a over sized killer panda tried to kill me unsurprisingly fun though gonna start a melatonin induced dream journal,1,0
yep my semester tests are 3 weeks away ahh study break s approaching though finally get to hide in my room and mug properly,1,0
god sends me a load but never an overload,1,0
what d you get for maths i got 50,1,0
mind you saying that the co codamol have helped so i have to keep reminding myself i have an injury wish i d taken painkillers before bed,1,0
ok that s so not cool guess i need to watch your tour schedule more wish i was there today,1,0
already cracked and jailbraked it with a thing called red sn0w and i got a installer called cydia,1,0
all my followers are spam bots lol,0,1
take some good pics can t wait to see them i can t be there,0,1
photoshop will have to wait a bit,0,1
yo f ck this game cavs done pissed me off for the night finna write some music and go get intoxicated at the club,1,0
how dare you get ice cream and ruin ur diet cough good job cough,1,0
it s too hot outside,1,0
i brought a buffalo 320gb for 3800 it has the fastest transfer rate for a usb hdd i benchmarked it at 34mb s on my comp,1,0
is still playing with her shiny new camera can t get the other lense working though x,0,1
sounds awesome wish i could seem them you coming to the uk anytime in the near future,0,1
sad i can t use my vouchers for my paris trip darn i ll just have to use them another time brussels anyone,1,0
it was a bit frenetic but bad guy was gonna monopolize water energy less sense than spaceship eating spaceships etc,1,0
rotten driver for not pulling over my drivers always know there will be stopping for all photo ops,1,0
good morning busy busy times today v busy urrrgh,0,1
cool i have one from a decluttering friend but i don t know how to play,0,1
love is an air conditioner on a hot day a heater on a cold day and a warm body in bed any day yep me again,1,0
oh clean pool how i ve missed you i m goin in,1,0
all set to head to richmond va on wednesday,1,0
lol why not ur confusing me lol its late tweet n wit half a brain lol,0,1
tay apparently ur video wasn t legal so i can t watch it,0,1
i m not within the usa,1,0
long day of moving today but got all but the furniture and other misc stuff moved tomorrow professional help arrives,1,0
did you suddenly fall into a time warp and end up in the 15th century,1,0
not too bad been a long day in work bit cream crackered too but i think thats the pill cocktail lol,1,0
on my way to see a woman at pertemps so looking forward to it i can hardly contain my excitement,0,1
i might of just done a bad thing oh well,1,0
nope we got beat 3 2 the captain scored an own goal in the last minute,0,1
dont forget the tissues haha,1,0
me too we can be broke together lol besides no one i d rather be broke with than you,1,0
think there is just a big black dark cloud over my place,0,1
home alone for the third night in a row upside a sweet dinner is in the making,0,1
steo hard 2 look at pictures of my dad iluv n god knows how much imiz u luv u dad,0,1
thank god today it ll be less hot unit in celsius 40 28,0,1
my sister was supposed to trade me for this hair clip but she flaked so i put it on,1,0
i m in we ll be the first swarm our forage is not weak,1,0
i get out of school in 15 minutes,1,0
too many lemon drops last night blahh,0,1
just saw a paratransit bus on its side on route 50 in nova drive safe people,0,1
filming over didn t really enjoy it at all,0,1
in art getting ready for the exhibition tomorrow i should be in bed,0,1
laziness day no idea for works that i should do for today,0,1
a day may start or end without a message from me but believe me it could not start or end without me thinking about u,1,0
dude you re talking leno and not tennis i m counting on you now pls win rg thx,0,1
i am really not enjoying being back at work after a brilliant weekend in the sun with all my friends,0,1
time goes quickly doesn t it,1,0
can t find angel,0,1
someone updated my twitter but it wasn t me,0,1
has the answer for all your it needs,1,0
just got his last schedule with actual days off a week from today i ll get my last disney schedule,0,1
what can i get him,0,1
can t get geek tool to bring in an rss feed onto my desktop,0,1
im so s eepy itz goiing to be a early night morning for me,1,0
i think she matched my handwriting to the sign in sheet,0,1
i must know what remix of britney s gimme more they use in britains got more talent anyone have any idea,0,1
new record shaving 13 minutes off my gps eta,1,0
who says that anyway,1,0
if you d let me test i could comply,0,1
alone in the dark doesn t need changing gameporn,1,0
any gear you don t use anymore and want to throw away,1,0
harry with sunglasses and a towel on his head,1,0
my son just came in and he s gone back out again i don t know why i tweeted that just thought i would lol,1,0
made it to nationals,1,0
i find it very fitting that as soon as i want to get my measurements finished in a hurry my samples turn into perfect bastions of high q,0,1
in canada the now cause shes asking about mum amp dad and why im married lol,1,0
never heard of coffee bean starbucks are aplenty too much so 3 shut down last year 2 were new 1 was by my house,0,1
quot since you been gone quot,1,0
oh no it was just a leaflet,0,1
but the just keep telling us just how much we need it,1,0
sitting in chicago waiting to go home,1,0
lost then found,1,0
croissants and milk and honey my healthy breakfast,0,1
morning i woke up in the night feeling so ill like cold and dizzy with a temp n everything but now i feel completely fine hmm strange x,1,0
got sims 3 its great except my computer needs more ram no more playing for a few day,0,1
so much is happening in london tonight it s all lit up,1,0
done that toomany times myself,0,1
your jokes are normally hilarious but the one about mike tyson s daughter it s not funny and it s horrible,0,1
chuck just peed on my leg bed hello couch,0,1
benadryl for me have u heard of the laser light treatment that s spose to rid hayfever i may try it,1,0
we ll see,0,1
loving your clip babe well done heheh aww i don t think i ll make it to dallas this time,0,1
yep it s all coming back to me now i knew there was a reason why i took that html class,1,0
going out tonight finally i wanty lie in the park but cinema bound it looks,0,1
oh wait no my mom made the decision for me already,0,1
you two are the queens of crush don t ever change,1,0
get some rest and get well soon,0,1
my fish aren t doing to good,0,1
i think that s part of it i m getting tweets from two hours ago as new too,0,1
but you look soooo cute sunburned baby,1,0
collect all of your alarm clocks and put it around you,1,0
sorry i got caught up in it haha,1,0
today was amazing too short though,0,1
now that i didn t think of may have to try that tonight if i can find the baby gate and earplugs she s a screamer,1,0
a u left us out lol well cant speak for everyone lmfao,0,1
my prediction from the future is that your day will get steadily worse,0,1
iknowrite,0,1
exactly and it doesn t have cold winters it s like 45 degrees in january and is 65 70 in july,1,0
going to see the land of the lost should be funny,1,0
back to the library i go for another english lit revision session,1,0
oh no did ur kitty pass away sorry so didja play didja kick ass didja huh tell me,0,1
good morning b i have to work too but still enjoy your day,0,1
a the final issue was 2006,0,1
not worth the 90 freshness aww i must lower my expectations then when i see it,0,1
joking p and don t forget its freaking cold and put a jumper on and im wearing shorts for some reason,1,0
that s no way to start a day i hope things get better,0,1
ot is not fun,0,1
haven t found anyone that gives that too me they always agree 2 it at 1st then after a month or so it s cling city major no no no,0,1
oh thats great i am happy for you i have got these annoying coworker she is talking so much sh the whole day,0,1
working 9 5 on a day like this is not cool,0,1
awod trip today no classes,1,0
station meeting tonight then anyone up for seeing the hangover probably 10 o clock showing cell phone to reach me,1,0
yes,0,1
i ll can t breathe out without a tissue,0,1
i m excited for new moon to come out i want to watch it right now,0,1
i love sundays headin to pool with spendin some qt while we can one more wk,0,1
can t go to swiftyyyy but ah wells i m seeing miley amp metro,0,1
yeah there s an option to update on your homepage i suggest not clicking it lol i did and was like ahhh,0,1
lucky you jen i really want to see the movie,1,0
london is now about 50 miles away,1,0
im trying to follow everybody who just started following me but twitter is acting up,0,1
3 more days gotta finish srr project presentation thingy then upload music shower amp sleep,1,0
just ordered your cd heard snippets of its loveliness quot we do what we want to quot tears me apart in a good way,1,0
on a lighter note it appears my laptops status might be moving on up money approved against my account,1,0
everytime i go to bed i wake up with fewer followers i must be talking in my sleep and hacking everybody off,1,0
haha twitter convo with thomas i remeber these hugs tighter too never leave me us,0,1
quot aw i wish he was my friend quot poynterrrr,1,0
ahahah i tried to do the bob the builder dance,1,0
heading to the nursing home my g ma not doing very well,0,1
i love your background i think mine needs help,0,1
i ve known yo la tengo to work like that,1,0
hope you re feeling better i don t have jokes though i m a rather poor comedian,1,0
i ve got a baby cat person who s teething at 2 1 2 years so why not a normal cat teething at ten months,1,0
pretty productive morning in the office now trying to figure out what to do inside for the last day of the afterschool program rain,0,1
finally the work week is over finished every day at 8pm,0,1
22 s the new single awesome i like that song i hope u release it in the us i loved not fair but that wasnt in the us,0,1
yay i m going to the dodger game i just don t know if i have tickets yet,0,1
good idea i use ten year old pictures and it still doesn t work,1,0
nice unfortunately i probably cant i wish i had that power,1,0
hoping that will return to the gym 37 days later and she s changed continents to get away from the gym,1,0
hates keep automatically waking up but its a great day,1,0
is pathetic but ooh nice hair and jost on the pic behind anyone,0,1
hard to believe you love the rain lol that s a shame the torchwood video didn t work maybe you can find it elsewhere,1,0
cold coffee,1,0
cannot wait for the day she has finished her masters dissertation,0,1
doin absolutely nothing today,0,1
me too i spent all afternoon in bed,0,1
what about sel demi are you mad whit her that nice relationship of frendship that you have whit,0,1
on the upside tho i guess jesus felt sorry for me and he unplugged my bathroom sink,1,0
at five i do,0,1
is figuring it out beautiful day outside but i have to study,0,1
that was a great workout now time to shower and sleep fun tomorrow missing my mommy and sisters think its time 4 a visit again,0,1
i mean this doesn t upload it,1,0
i got 2 tickets on my trip to and from indiana gotta love giving my money away,1,0
lol hey at least it s still sunday over where you area,0,1
i know i been sneezin me face offf,0,1
morning all may have to switch off twitter amp all other gubbins for a few days as i m so totally behind on work,0,1
everyone talking bout thier new iphone,0,1
cuddling with the kitten before work,1,0
sugar is my weakness the cleanse sounds very interesting can u share a site we might join you,0,1
i want ravioli from there holly,1,0
hope you get some rest hugs,0,1
r u serious i wanna see,1,0
blah doing laundry late at night just an excuse to stay up now,1,0
it s excruciating to be in washington d c for the 1st time and not have time to actually see the city i need to come back to visit,0,1
put some garlic in the dogfood ticks dosen t like the taste of the dog after that,1,0
not much bed soon i m gonna miss waking up to your sweet sweet comments,0,1
only after i said wp doesn t support twitter application i found it s in the widgets now i added it in my blog,0,1
no one believed me at my dance competition today that i did a handstand,0,1
oh did you try to get some i can t print the coupons,0,1
what,0,1
i felt wonder and awe the first time,1,0
oh and obama s speech about d day today was amazing my dad got all teary eyed,1,0
of course it may be a moot point because i don t think i have the time to swing that far out of my way,0,1
sorry my friend thanks for correcting me got all mixed up by travelling too much need sleep for today,1,0
i m trying to get the kids to learn german my mother was from berlin amp i regret she never really taught me i m learning 2,1,0
so does that mean you coming home friday,1,0
apprentice i want kate too win although i do wish she wouldnt smile quite so much,1,0
my parents insist me to take a fitness they give up with my belly,0,1
journalism again gt gt i forgot my flashdrive again tt tt but i drew an awesome picture today wish me luck on typing my articles,1,0
and i m having this insane craving for chocolate chip cookies but i know it s not going to be satisfied,0,1
shows how long it s been since i used film look out for scans of prints on my flickr stream over the next few months scream,1,0
my morning is not starting off well what a great saturday morning,0,1
i always have no concentration when the subject i have to research i have no interest in,0,1
tis what he told me in palm springs hope he does well there,1,0
the watercompany has shut down our water supply no shower no coffee no toothbrushing,0,1
those are my nerve cracking subjects this semester wish me luck,1,0
dear mr president by pink touch me everytime i listen to it,0,1
so was your mother for serving you soggy toast in the bath god you were a spoilt brat,1,0
that would be amazing haha i need to start saving lol,0,1
well if i didn t have to drive cross country just to get down to your shindig i wouldn t be tired amp would have the pics up,1,0
followfriday just a short one don t hurt me,1,0
hey scrap the grunge look idea for site just had postcard rejected quot don t like grunge quot,0,1
finally changed my timetable to a five day one,0,1
beach is nice fried like a lobster,0,1
je parle francais dont know how to do the cedille or how ever it s spelled lulz je parle un peu lol 1 semester it s bad,0,1
in a boring p s e lesson doing my cv i dont have any hobbies lol and i can t put twittering down,1,0
i m saucy w nothing to do y did we separate again lol,0,1
i asked u last week brat u should have added me then hit me after work please,0,1
ehh haha dude it s be cool if u could stay the night tonight but my moms husband probly won t let you i have to stay home tom,0,1
got my ass handed to me wii bowling by my parents after teaching them how to play,0,1
i wonna play i ve never played before,0,1
checked out your sites watched some dog videos 2 here is what i m doing,1,0
up to 10 537 you re getting there how s the weather there dreary amp semi rainy here in spamtown,1,0
ooo growl and yummy time coming soon for you too huh oh yeah i have been hunting for a combo tshirt think i can find one no,0,1
you should set up a video channel for your podcast on miro just checked and you re not listed there,0,1
it was more than a trim i got new layers,0,1
drinking white wine sangria in your name,0,1
yes btw how did you know i was a lush we ve never met in rl,0,1
can u make something for the picnic i cant think of anything,0,1
which link,0,1
yeah i m in spanish right now haha,0,1
money saving tips amp washing,0,1
home is where your heat is the sounds,1,0
left italy about 9 this morning italy time in austria now still quite a bit to go not expected good till 5 tomorrow afternoon,0,1
can t find it,0,1
starbucks if you re after that burnt poorly made amp depressing chain store vibe then yep starbucks is it,1,0
woot aww means i cant tease u so what colour r u now,0,1
watching sea world videos on youtube i really want to go have a look,0,1
if only i could email food,0,1
good morning everyone monday again but i hope everyone has a good one lt 3,0,1
mushroom bruschetta miso salmon and carrot cake all at cheesecake factory i swear i m not fat but i can eat like this cuz its my day,1,0
who needs people when you have me,1,0
its still not green,0,1
dont know how much i ll be around tomorrow night so wishing u safe travels now,1,0
i understand i have two bundt pans and a awesome cook book however desserts anymore are once in a blue moon,0,1
off shopping with wife this morning away tonight before day with old friends tomorrow nice to have a planned active weekend,0,1
babe i am there for alot of people sorry you didnt think so,1,0
my first twit i mean tweet i cant believe i gave in,0,1
a new video from kasabian and check the comments there was a harsh banter between yanks amp brits very stupid,1,0
i so can t recognise you takes me ages to realise it is you i want the old you back lol i know call me crazy,0,1
i suppose i should update more,1,0
i was going to invite you to podcasting or movie club but after that comment about big z,0,1
atleast you having fun tonite homie,0,1
today again to the physiotherapist we ll see what happens,0,1
we just drove to st chuck to look at a van nobody was there to show it to us,0,1
excited 4 2day no body cares though,0,1
beginning of line whole line is too vast to capture in single frame,0,1
follow friday midnight lol idk why i love it cause i can shot out my followers by the way do yall not like me yall never talk 2 me,0,1
sleepy can t wait to snuggle with my puppies,0,1
okok skg bljr fis yaa byeeee wish me luck,1,0
probably passed out on my couch,1,0
holy crap laura that new moon trailer is awesome taylor lautner no shirt but i almost cried wen he left i luv it,0,1
back to work talk to you all later,1,0
on the phone now for nearly 20 minutes with pal no one s picking up,0,1
u said quot uh quot txt me wat that meant,0,1
i got fire power,1,0
im having a realyyy crap day 2day and u would make me soooo much happier if u replied xxx,1,0
dang those dolls could give ya nightmares indeed here s hoping you don t get any thx for sharing the pics tho,1,0
melanie and me i haven t hung out with her in 7 months before yesterday,1,0
i jst askd mum n she sed she tinks so she gana look 4 it bt wen i bort it da guy sed if smthin happens cum bak dey ll fix,1,0
i know kakasabi ko lang na i hate chismosa but let me hate myself what s up sino pa nag break,1,0
offline,1,0
it d be nice but soon we ll have to pay to tweet,0,1
ahahahahahahaha clears throat i m sorry cat,1,0
hey nana i yahoo d u da udda day nice legs in da new pic,0,1
loving the new tat but hating no pool for a week,0,1
you need an for dishes,1,0
but that wouldnt be a problem too since that would be 5pm overhere,1,0
studying out at the pool today i heart the sun,1,0
what a snooozy day,0,1
shower time someone should by me a new cake of shaving soap for the straight razor i m almost out,0,1
i just love for giving the shoutout noone ever does that so love ya,0,1
sitting on the couch home thinking that im not ready to give up,1,0
its really not your week things will get better though xo,0,1
girl i am so done for the night my niece wore me out she didn t feel good,0,1
i refuse to bow down to people that call me a slut so they can take there 25 dollars and the stupid card and shove it,1,0
celebrating end of work week i would guess,1,0
well aye what i meant to say was thinking of going to sleep but im not tiredddd,0,1
sister s 5th grade moving on ceremony exactly the same when i did it 10 years ago snap,0,1
mommy s day yay what are you doing today it s kinda cloudy out but that won t stop my sunshine,1,0
hahahahahaha nope no cream or peach just creepy,0,1
rt shout out 2 mad linx who did his thing on the turntables last nite at imax in tampa lt amp drank all my champagne,0,1
i m so freaking cool i come to germany and what do i do i buy a book on how to play accordion because we don t have them in the usa,0,1
leftover sesame tofu for breakfast because i m a grownup and i can eat what i want,1,0
i am not having a good day today,0,1
hmm was signing in2 bebo nd it was in french je ne sais pas pourquoi wel atleast it was a bit of practise 4 my exam on wednesday xx,0,1
you sound like a teen girl with a cell phone,1,0
home relaxing watching msu sex tape my school is so unpredictable not ask for link if u so desire,0,1
1 star for not having the label on this bottle how do i find out what this magical color is now,0,1
congratulations sorry to hear there are printing mistakes but luckily it s the quot soft quot launch that s what it s for,0,1
you are aw shucks me too a lot,1,0
her last office screamed serenity now this quot new quot office not so much,0,1
wot s in ur head hope not music since i awoke i have a drink music ad in my head,0,1
has anyone seen my sweat shirt,0,1
we ll never make it,0,1
i ve lost count of how much bsg i ve watched this weekend very naughty can t you tell i m hooked,1,0
score my couch attempted to devour my cell phone but it has since been rescued,1,0
not happy about leaving arizona,0,1
dophie not lookin so hott two am so doesnt work for me i need my beauty sleep so the beauty is added to the me,0,1
cute movie church early tomorrow brother still has friends over haha i m going to sleep goodnight everybody,0,1
okey well all that excitement for big brother and the housemates seem pretty boreing aww we,0,1
hopefully she ll outgrow it i had one when i was little too but no more but good to keep an eye on it w cardiologist,0,1
any more 20 coupons you guys changed the expiration date on the recent one,0,1
a i m sure she s fine her grandparents are coming up and b why is my name spelt wrong on that reply,0,1
bless bienazir it was kind of hard to watch,0,1
no mixer i m afraid but we re looking at alternatives for the sound this week,1,0
i have a good relationship with my bro but sometimes he randomly makes an unprovoked verbal attack towards me,0,1
i thought i d booked golden circle tickets but theres no golden circle either way should be awesome will still miss d l,0,1
assassins creed 2 trailer was awesome no i am alive tho,0,1
even is not biting,1,0
plan for the day shower homework revision forevaz friends more revision then the apprentice bed roughly,1,0
hello cousin i saw ur missed called have no credit though whats up,0,1
orey peelings cha cha cha,0,1
lol i dont think swine flu has anyhting to do with birds but im not sure lol thought it was pigs but mybe im wrong,1,0
aww that s deloinkful,1,0
thanks for sympathy twitter is good hopefully it will be ok tomorrow egad tea should never be near computers,0,1
this validates that you were mistaken in buying music from them in the first place i did too will you buy from amazon,0,1
going to sleep now i gotta get up early tomorrow to go workout hope i dont get to soar i have a party to go to tomorrow,1,0
ended a bad day on a good note,1,0
please do a report,1,0
just smashed up the side of my iphone awesome start to the day fb,1,0
my best wishes from venezuela hope to see you here sometime,1,0
etsy went down right in the middle of me listing an item,0,1
and frankly for me some of the scary violent vampire stuff is better to imagine than see on the screen holy crap,1,0
good your blipping has been sorely missed,1,0
going to leave twitter in the hope of my starting my japanese assignment goodbye for now,1,0
this worn out feeling is why i don t like yard work it s also why i need to start going to the y again,1,0
my vid may not get up tonight,0,1
call me,0,1
jimmy carr is funny when i m not watching and boring when i am,0,1
you took a blog down hope your okay,0,1
welcome to arkansas but still 134miles to go,0,1
why no ff for me,0,1
i hit a baby when i was swinging parents need to take care of their kids more d lt,0,1
playing scrabble via facebook w kresta this bitch is good,0,1
av ad a realy gd day wiv ciara connolly at park gate west kirby and new brighton fukin funny bt sunburnt luks like drivers arm,0,1
another weekend another beautiful day on the beach i wont inflict a photo on you i know you don t want to see,1,0
it was so amazing i wish we could do it again wait we will warped tour,1,0
since getting a new bookcase i have been able to go into power unpacking mode today managed to get many boxes out of my room,1,0
life is harrrghh life is like a hard maze,0,1
i don t have enough energy to properly sort out all the thoughts in my head annoying giving up on that for tonight and going to sleep,1,0
yes having done all the donkey work for 25 years now i voraciously want multiple recognitions like,1,0
i m with you had a jelly babies incident earlier neither big nor clever,0,1
tooo many free drinks,0,1
is going shopping and can t be bothered to feel guilty about spending the money,1,0
i had to remix the beat around emilio s verse dats the best i could do,0,1
haha but the downside is i have to give up the green day gig but i love muse a tad bit more than green day so muse lt 3,0,1
a thx luv u now it s the day after my birthday i have 2 clean my room today,0,1
if they dont change the music in this building im going to start throwing things bad music make amy smashy smash faces,1,0
followed by a flight to london england a man can dream,0,1
k bye twit going to watch mvs on youtube k will miss ya going jogging later bye,1,0
and all i wanted was an email address for the local community centre,1,0
daily high got lots of stuff done daily low not very many tanners today,0,1
i have a liz mitchell fashionshow to do tomorrow early start tho dread,1,0
i know,0,1
i just thought that exact same thing gone from 8 2beta to 8 2 final,1,0
deleting pics from the comp and my mums takin a trip dwn memory lane thought ild bring u along wif me lol,1,0
yes he sure does have some crazy fans i know i would act crazy if i saw rob but not like those fans i live in iowa,0,1
why are all these porn related peeps following me,0,1
bathroom shot before i get rid of it,1,0
watching tv sunday evenings suck,1,0
goodnight gotta read this book for class 2moro,0,1
at work having a little read of les fleurs du mal baudelaire no library customers today they re all out enjoying the weather,0,1
hey the pbs 50 s special is on again so i can now hear all the songs i missed earlier,1,0
watchin my homeboys play ball you know they don t let the only girl play unless i look like a boy,0,1
well i m sure if you guys work hard and practice you could win one too,1,0
itunes 8 2 released jailbreakers don t update yet,1,0
couldn t wait to see what tweets you had for me,1,0
whats her name again,0,1
not loving my hair but i m still going to dye it grey this friday with jas and del,0,1
waiting for my apple waffles,1,0
now i need more cores would it be wrong to distribute perl over networked compute nodes,0,1
wish you luck,1,0
i love your profile pic miss you and i hope you re having fantabulous holiday,1,0
very very frustrated ones,1,0
take care dont let the mosquito bite,1,0
mexico city please mexico city please mexico city please mexico city please,1,0
good morning good morning i m exhausted and it feels like friday but it s not,0,1
yea da wood,0,1
watching service live great to have when kids and hubby are sick fbckm live gt,1,0
haha i know dude its so awesome this is the last of my trips though til october,0,1
no nothing,0,1
haveyouever told your friend to get you food b c u didn t want to look fat teehee,1,0
of course i m still hangn w u various belief systems more interesting i only unfollow bcuz sum1 s boring or vulgar,1,0
i was hoping you d read that aha ugh stupid kids that need to be watched booo i hope the video is going good who is there,1,0
